id;vehicle_id_number;data_id;detail;created_at;updated_at
1;Saint Helena;Borders Grass-roots;disintermediate Mali Unbranded Concrete Soap;2019-05-15T22:51:09;2019-05-16T09:04:31
2;Tactics Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer;2019-05-15T16:57:17;2019-05-15T11:56:11
3;copy;Robust hack Electronics;application Cambridgeshire;2019-05-15T17:46:11;2019-05-16T03:40:16
4;connecting;generate;Rubber syndicate;2019-05-15T16:44:46;2019-05-15T22:55:28
5;Bedfordshire;application driver;Credit Card Account Nevada;2019-05-15T18:41:34;2019-05-16T05:50:16
6;transparent Chips;front-end Intuitive vortals;Communications;2019-05-16T08:12:02;2019-05-15T13:59:48
7;Granite Generic;Clothing;Personal Loan Account Awesome International;2019-05-15T16:55:09;2019-05-15T13:44:28
8;alarm;quantify;Checking Account markets;2019-05-15T18:12:23;2019-05-16T09:22:44
9;programming District Wooden;Officer;yellow programming strategy;2019-05-16T04:24:23;2019-05-15T23:25:44
10;New Mexico;streamline navigate;neural;2019-05-16T11:46:11;2019-05-15T21:23:30
