id;data_id;data_name;sort_number;updated_at
1;Cotton relationships;Chief web-enabled interactive;District Idaho Grocery;2019-05-15T13:58:30
2;Devolved;Avon web-readiness;frame multi-byte modular;2019-05-16T06:35:55
3;olive;Chips Division;Massachusetts;2019-05-15T15:13:33
4;Zimbabwe;Bedfordshire;application scale;2019-05-16T01:38:17
5;solid state;turquoise orchid;grow;2019-05-15T15:48:13
6;Arkansas reciprocal;Mountain Malaysia supply-chains;Borders hack;2019-05-16T09:24:34
7;user-centric;Mobility;didactic Dynamic;2019-05-15T23:14:35
8;auxiliary Liaison;bus withdrawal Toys;Enterprise-wide;2019-05-16T07:10:27
9;Avon Checking Account impactful;Salad payment;bandwidth;2019-05-15T16:33:13
10;Producer;SAS parsing;Branding Concrete;2019-05-16T02:07:39
